game_iter,player_id,risk_thres,likely_thres,exactly_thres,bluff_prob,bluff_thres,trustability,win_bool
1,1,0.35,0.8,0.3,0.25,0.6,0,0
1,2,0.35,0.8,0.3,0.25,0.6,1,0
1,3,0.35,0.8,0.3,0.25,0.6,1.25,1
1,4,0.35,0.8,0.3,0.25,0.6,1.75,0
2,1,0.35,0.8,0.3,0.25,0.6,0,0
2,2,0.35,0.8,0.3,0.25,0.6,1,0
2,3,0.35,0.8,0.3,0.25,0.6,1.25,1
2,4,0.35,0.8,0.3,0.25,0.6,1.75,0
3,1,0.35,0.8,0.3,0.25,0.6,0,0
3,2,0.35,0.8,0.3,0.25,0.6,1,0
3,3,0.35,0.8,0.3,0.25,0.6,1.25,1
3,4,0.35,0.8,0.3,0.25,0.6,1.75,0
4,1,0.35,0.8,0.3,0.25,0.6,0,0
4,2,0.35,0.8,0.3,0.25,0.6,1,0
4,3,0.35,0.8,0.3,0.25,0.6,1.25,0
4,4,0.35,0.8,0.3,0.25,0.6,1.75,1
5,1,0.35,0.8,0.3,0.25,0.6,0,0
5,2,0.35,0.8,0.3,0.25,0.6,1,0
5,3,0.35,0.8,0.3,0.25,0.6,1.25,1
5,4,0.35,0.8,0.3,0.25,0.6,1.75,0
6,1,0.35,0.8,0.3,0.25,0.6,0,0
6,2,0.35,0.8,0.3,0.25,0.6,1,0
6,3,0.35,0.8,0.3,0.25,0.6,1.25,0
6,4,0.35,0.8,0.3,0.25,0.6,1.75,1
7,1,0.35,0.8,0.3,0.25,0.6,0,0
7,2,0.35,0.8,0.3,0.25,0.6,1,0
7,3,0.35,0.8,0.3,0.25,0.6,1.25,1
7,4,0.35,0.8,0.3,0.25,0.6,1.75,0
8,1,0.35,0.8,0.3,0.25,0.6,0,0
8,2,0.35,0.8,0.3,0.25,0.6,1,0
8,3,0.35,0.8,0.3,0.25,0.6,1.25,1
8,4,0.35,0.8,0.3,0.25,0.6,1.75,0
9,1,0.35,0.8,0.3,0.25,0.6,0,0
