player_id,bullshit_prob_threshold,win_bool
1,0.37,0
2,0,1
3,0.37,0
1,0.37,0
2,0,1
3,0.37,0
1,0.37,0
2,0,0
3,0.37,1
1,0.37,1
2,0,0
3,0.37,0
1,0.37,1
2,0,0
3,0.37,0
1,0.37,0
2,0,0
3,0.37,1
1,0.37,0
2,0,1
3,0.37,0
1,0.37,0
2,0,0
3,0.37,1
1,0.37,0
2,0,1
3,0.37,0
1,0.37,1
2,0,0
3,0.37,0
1,0.37,1
2,0,0
3,0.37,0
1,0.37,0
2,0,1
3,0.37,0
1,0.37,1
2,0,0
3,0.37,0
1,0.37,0
2,0,1
3,0.37,0
1,0.37,0
2,0,0
3,0.37,1
1,0.37,1
2,0,0
3,0.37,0
1,0.37,1
2,0,0
3,0.37,0
1,0.37,0
2,0,1
3,0.37,0
1,0.37,0
2,0,1
3,0.37,0
1,0.37,0
2,0,1
3,0.37,0
1,0.37,0
2,0,1
3,0.37,0
1,0.37,1
2,0,0
3,0.37,0
1,0.37,0
2,0,1
3,0.37,0
1,0.37,0
2,0,1
3,0.37,0
1,0.37,0
2,0,0
3,0.37,1
1,0.37,1
2,0,0
3,0.37,0
1,0.37,1
2,0,0
3,0.37,0
1,0.37,1
2,0,0
3,0.37,0
1,0.37,0
2,0,0
3,0.37,1
1,0.37,0
2,0,0
3,0.37,1
1,0.37,1
2,0,0
3,0.37,0
1,0.37,1
2,0,0
3,0.37,0
1,0.37,1
2,0,0
3,0.37,0
1,0.37,0
2,0,1
3,0.37,0
1,0.37,0
2,0,1
3,0.37,0
1,0.37,0
2,0,1
3,0.37,0
1,0.37,0
2,0,0
3,0.37,1
1,0.37,0
2,0,0
3,0.37,1
1,0.37,0
2,0,0
3,0.37,1
1,0.37,1
2,0,0
3,0.37,0
1,0.37,0
2,0,0
3,0.37,1
1,0.37,0
2,0,0
3,0.37,1
1,0.37,0
2,0,0
3,0.37,1
1,0.37,0
2,0,1
3,0.37,0
1,0.37,0
2,0,0
3,0.37,1
1,0.37,1
2,0,0
3,0.37,0
1,0.37,0
2,0,1
3,0.37,0
1,0.37,0
2,0,1
3,0.37,0
1,0.37,0
2,0,1
3,0.37,0
1,0.37,1
2,0,0
3,0.37,0
1,0.37,1
2,0,0
3,0.37,0
1,0.37,1
2,0,0
3,0.37,0
1,0.37,0
2,0,0
3,0.37,1
1,0.37,0
2,0,0
3,0.37,1
1,0.37,0
2,0,1
3,0.37,0
1,0.37,1
2,0,0
3,0.37,0
1,0.37,0
2,0,1
3,0.37,0
1,0.37,0
2,0,0
3,0.37,1
1,0.37,0
2,0,1
3,0.37,0
1,0.37,0
2,0,1
3,0.37,0
1,0.37,0
2,0,0
3,0.37,1
1,0.37,1
2,0,0
3,0.37,0
1,0.37,1
2,0,0
3,0.37,0
1,0.37,0
2,0,1
3,0.37,0
1,0.37,0
2,0,1
3,0.37,0
1,0.37,0
2,0,1
3,0.37,0
1,0.37,0
2,0,0
3,0.37,1
1,0.37,0
2,0,0
3,0.37,1
1,0.37,0
2,0,0
3,0.37,1
1,0.37,0
2,0,1
3,0.37,0
1,0.37,0
2,0,0
3,0.37,1
1,0.37,1
2,0,0
3,0.37,0
1,0.37,1
2,0,0
3,0.37,0
1,0.37,0
2,0,0
3,0.37,1
1,0.37,0
2,0,0
3,0.37,1
1,0.37,0
2,0,0
3,0.37,1
1,0.37,1
2,0,0
3,0.37,0
1,0.37,1
2,0,0
3,0.37,0
1,0.37,0
2,0,1
3,0.37,0
1,0.37,0
2,0,0
3,0.37,1
1,0.37,0
2,0,1
3,0.37,0
1,0.37,0
2,0,0
3,0.37,1
1,0.37,0
2,0,0
3,0.37,1
1,0.37,0
2,0,0
3,0.37,1
1,0.37,0
2,0,1
3,0.37,0
1,0.37,0
2,0,1
3,0.37,0
1,0.37,0
2,0,0
3,0.37,1
1,0.37,0
2,0,0
3,0.37,1
1,0.37,1
2,0,0
3,0.37,0
1,0.37,1
2,0,0
3,0.37,0
1,0.37,0
2,0,1
3,0.37,0
1,0.37,0
2,0,0
3,0.37,1
1,0.37,0
2,0,1
3,0.37,0
1,0.37,1
2,0,0
3,0.37,0
1,0.37,0
2,0,1
3,0.37,0
1,0.37,1
2,0,0
3,0.37,0
1,0.37,0
2,0,1
3,0.37,0
1,0.37,0
2,0,1
3,0.37,0
1,0.37,1
2,0,0
3,0.37,0
1,0.37,0
2,0,1
3,0.37,0
1,0.37,1
2,0,0
3,0.37,0
1,0.37,0
2,0,0
3,0.37,1
1,0.37,1
2,0,0
3,0.37,0
1,0.37,0
2,0,1
3,0.37,0
1,0.37,1
2,0,0
3,0.37,0
1,0.37,0
2,0,0
3,0.37,1
1,0.37,0
2,0,1
3,0.37,0
1,0.37,0
2,0,1
3,0.37,0
1,0.37,1
2,0,0
3,0.37,0
1,0.37,1
2,0,0
3,0.37,0
1,0.37,0
2,0,1
3,0.37,0
1,0.37,0
2,0,0
3,0.37,1
1,0.37,1
2,0,0
3,0.37,0
1,0.37,0
2,0,0
3,0.37,1
1,0.37,0
2,0,0
3,0.37,1
1,0.37,1
2,0,0
3,0.37,0
1,0.37,0
2,0,1
3,0.37,0
1,0.37,0
2,0,0
3,0.37,1
1,0.37,1
2,0,0
3,0.37,0
1,0.37,1
2,0,0
3,0.37,0
1,0.37,0
2,0,0
3,0.37,1
1,0.37,0
2,0,0
3,0.37,1
1,0.37,1
2,0,0
3,0.37,0
1,0.37,0
2,0,1
3,0.37,0
1,0.37,0
2,0,1
3,0.37,0
1,0.37,0
2,0,1
3,0.37,0
1,0.37,0
2,0,1
3,0.37,0
1,0.37,0
2,0,1
3,0.37,0
1,0.37,1
2,0,0
3,0.37,0
1,0.37,1
2,0,0
3,0.37,0
1,0.37,1
2,0,0
3,0.37,0
1,0.37,1
2,0,0
3,0.37,0
1,0.37,0
2,0,1
3,0.37,0
1,0.37,0
2,0,1
3,0.37,0
1,0.37,1
2,0,0
3,0.37,0
1,0.37,1
2,0,0
3,0.37,0
1,0.37,0
2,0,1
3,0.37,0
1,0.37,0
2,0,1
3,0.37,0
1,0.37,1
2,0,0
3,0.37,0
1,0.37,0
2,0,0
3,0.37,1
1,0.37,0
2,0,0
3,0.37,1
1,0.37,0
2,0,1
3,0.37,0
1,0.37,0
2,0,1
3,0.37,0
1,0.37,0
2,0,0
3,0.37,1
1,0.37,0
2,0,0
3,0.37,1
1,0.37,0
2,0,1
3,0.37,0
1,0.37,0
2,0,1
3,0.37,0
1,0.37,0
2,0,1
3,0.37,0
1,0.37,0
2,0,1
3,0.37,0
1,0.37,0
2,0,0
3,0.37,1
1,0.37,1
2,0,0
3,0.37,0
1,0.37,0
2,0,1
3,0.37,0
1,0.37,1
2,0,0
3,0.37,0
1,0.37,0
2,0,1
3,0.37,0
1,0.37,0
2,0,1
3,0.37,0
1,0.37,1
2,0,0
3,0.37,0
1,0.37,0
2,0,0
3,0.37,1
1,0.37,1
2,0,0
3,0.37,0
1,0.37,0
2,0,1
3,0.37,0
1,0.37,0
2,0,0
3,0.37,1
1,0.37,0
2,0,1
3,0.37,0
1,0.37,1
2,0,0
3,0.37,0
1,0.37,1
2,0,0
3,0.37,0
1,0.37,0
2,0,0
3,0.37,1
1,0.37,0
2,0,0
3,0.37,1
1,0.37,1
2,0,0
3,0.37,0
1,0.37,1
2,0,0
3,0.37,0
1,0.37,0
2,0,0
3,0.37,1
1,0.37,0
2,0,1
3,0.37,0
1,0.37,0
2,0,1
3,0.37,0
1,0.37,1
2,0,0
3,0.37,0
1,0.37,0
2,0,0
3,0.37,1
1,0.37,0
2,0,1
3,0.37,0
1,0.37,0
2,0,0
3,0.37,1
1,0.37,0
2,0,0
3,0.37,1
1,0.37,0
2,0,1
3,0.37,0
1,0.37,1
2,0,0
3,0.37,0
1,0.37,1
2,0,0
3,0.37,0
1,0.37,0
2,0,0
3,0.37,1
1,0.37,1
2,0,0
3,0.37,0
1,0.37,0
2,0,1
3,0.37,0
1,0.37,1
2,0,0
3,0.37,0
1,0.37,1
2,0,0
3,0.37,0
1,0.37,0
2,0,1
3,0.37,0
1,0.37,0
2,0,0
3,0.37,1
1,0.37,0
2,0,1
3,0.37,0
1,0.37,1
2,0,0
3,0.37,0
1,0.37,1
2,0,0
3,0.37,0
1,0.37,0
2,0,0
3,0.37,1
1,0.37,0
2,0,1
3,0.37,0
1,0.37,1
2,0,0
3,0.37,0
1,0.37,0
2,0,1
3,0.37,0
1,0.37,0
2,0,0
3,0.37,1
1,0.37,1
2,0,0
3,0.37,0
1,0.37,1
2,0,0
3,0.37,0
1,0.37,0
2,0,1
3,0.37,0
1,0.37,0
2,0,1
3,0.37,0
1,0.37,0
2,0,0
3,0.37,1
1,0.37,1
2,0,0
3,0.37,0
1,0.37,0
2,0,1
3,0.37,0
1,0.37,1
2,0,0
3,0.37,0
1,0.37,1
2,0,0
3,0.37,0
1,0.37,0
2,0,1
3,0.37,0
1,0.37,0
2,0,1
3,0.37,0
1,0.37,0
2,0,1
3,0.37,0
1,0.37,1
2,0,0
3,0.37,0
1,0.37,1
2,0,0
3,0.37,0
1,0.37,0
2,0,0
3,0.37,1
1,0.37,0
2,0,0
3,0.37,1
1,0.37,0
2,0,1
3,0.37,0
1,0.37,0
2,0,1
3,0.37,0
1,0.37,0
2,0,1
3,0.37,0
1,0.37,1
2,0,0
3,0.37,0
1,0.37,0
2,0,1
3,0.37,0
1,0.37,0
2,0,1
3,0.37,0
1,0.37,0
2,0,1
3,0.37,0
1,0.37,0
2,0,1
3,0.37,0
1,0.37,0
2,0,0
3,0.37,1
1,0.37,1
2,0,0
3,0.37,0
1,0.37,0
2,0,1
3,0.37,0
1,0.37,1
2,0,0
3,0.37,0
1,0.37,1
2,0,0
3,0.37,0
1,0.37,1
2,0,0
3,0.37,0
1,0.37,1
2,0,0
3,0.37,0
1,0.37,0
2,0,0
3,0.37,1
1,0.37,0
2,0,0
3,0.37,1
1,0.37,0
2,0,1
3,0.37,0
1,0.37,0
2,0,0
3,0.37,1
1,0.37,0
2,0,1
3,0.37,0
1,0.37,1
2,0,0
3,0.37,0
1,0.37,0
2,0,1
3,0.37,0
1,0.37,1
2,0,0
3,0.37,0
1,0.37,0
2,0,1
3,0.37,0
1,0.37,0
2,0,1
3,0.37,0
1,0.37,0
2,0,1
3,0.37,0
1,0.37,0
2,0,1
3,0.37,0
1,0.37,0
2,0,0
3,0.37,1
1,0.37,1
2,0,0
3,0.37,0
1,0.37,1
2,0,0
3,0.37,0
1,0.37,1
2,0,0
3,0.37,0
1,0.37,0
2,0,1
3,0.37,0
